#x  Int1  Int1_err  Int2  Int2_err  Int1-2  Int1-2_err
0.0  0.0  0.0  0.0  0.0  0.0  0.0
0.005  0.0  0.0  0.0  0.0  0.0  0.0
0.01  0.0  0.0  0.0  0.0  0.0  0.0
0.015  0.0  0.0  0.0  0.0  0.0  0.0
0.02  1666.0  40.81666  1033.0  32.14032  3.66666666667e-05  0.000182372908732
0.025  12626.0  112.3655  7699.0  87.74395  0.000854444444444  0.000499501661689
0.03  13917.0  117.9703  8237.0  90.75792  0.00204944444444  0.000519702192377
0.035  10056.0  100.2796  5763.0  75.91443  0.00232  0.000437526718079
0.04  7042.0  83.91663  4017.0  63.37981  0.00170777777778  0.000365629019959
0.045  5883.0  76.70072  3457.0  58.79626  0.000977222222222  0.000337164567363
0.05  5475.0  73.99324  3188.0  56.46238  0.00103944444444  0.000324373570969
0.055  4985.0  70.60453  2839.0  53.28227  0.00122944444444  0.000307479302917
0.06  4589.0  67.74216  2668.0  51.65269  0.000889444444444  0.000296833614401
0.065  4262.0  65.28399  2389.0  48.8774  0.00122111111111  0.000282976899183
0.07  4027.0  63.45865  2154.0  46.41121  0.00161277777778  0.000271331327326
0.075  4060.0  63.71813  2166.0  46.54031  0.00165111111111  0.000272235845113
0.08  4009.0  63.31666  2070.0  45.49725  0.00193611111111  0.000267997241972
0.085  4027.0  63.45865  2106.0  45.89118  0.00182611111111  0.000269578450188
0.09  4296.0  65.54388  2214.0  47.05316  0.00209333333333  0.000277275098809
0.095  4277.0  65.39878  2256.0  47.49737  0.00185388888889  0.000278504062009
0.1  4495.0  67.04476  2152.0  46.38965  0.00292166666667  0.000277834978678
0.105  4585.0  67.71263  2188.0  46.77606  0.00301166666667  0.000280353058408
0.11  4552.0  67.46851  2184.0  46.73329  0.00293777777778  0.000279757402218
0.115  4757.0  68.97101  2183.0  46.72259  0.00351166666667  0.000282535386265
0.12  4755.0  68.95651  2157.0  46.44351  0.00362166666667  0.000281597615104
0.125  4864.0  69.74238  2209.0  47.0  0.00369333333333  0.000284895469894
0.13  4877.0  69.83552  2088.0  45.69464  0.00426722222222  0.000280848034742
0.135  5062.0  71.14773  2026.0  45.01111  0.00505666666667  0.000281208804173
0.14  4955.0  70.39176  2040.0  45.16636  0.00469722222222  0.000280230836141
0.145  5122.0  71.56815  1988.0  44.58699  0.00539222222222  0.000280696874037
0.15  5105.0  71.44928  2008.0  44.81071  0.00525611111111  0.00028116653663
0.155  4978.0  70.55494  1934.0  43.97727  0.00523222222222  0.000276790471332
0.16  5143.0  71.71471  1933.0  43.9659  0.005695  0.000279045448519
0.165  5221.0  72.25649  1851.0  43.02325  0.00627611111111  0.000277215548391
0.17  5557.0  74.54529  1767.0  42.0357  0.00758277777778  0.000278893875175
0.175  6348.0  79.67434  1751.0  41.84495  0.00985111111111  0.000289083268555
0.18  7958.0  89.20762  1614.0  40.17462  0.0149322222222  0.000305427242022
0.185  9493.0  97.43203  1649.0  40.60788  0.0190405555556  0.00032530185721
0.19  9596.0  97.95918  1603.0  40.03748  0.0195311111111  0.000325126761206
0.195  8305.0  91.13177  1442.0  37.97368  0.0166605555556  0.000304246190233
0.2  6769.0  82.27393  1453.0  38.11824  0.012345  0.000284484048385
0.205  5599.0  74.82647  1343.0  36.64696  0.00958388888889  0.000264065434897
0.21  4567.0  67.57958  1308.0  36.16628  0.00687277777778  0.000247136051526
0.215  3858.0  62.1128  1271.0  35.65109  0.00506777777778  0.00023425348467
0.22  3303.0  57.47173  1149.0  33.8969  0.00406833333333  0.000219504902238
0.225  2867.0  53.54437  1137.0  33.71943  0.00291055555556  0.000211142531563
0.23  2352.0  48.49742  1034.0  32.15587  0.00193777777778  0.000196399687033
0.235  2173.0  46.61545  929.0  30.4795  0.00190722222222  0.000187396884702
0.24  2004.0  44.76606  889.0  29.8161  0.00161555555556  0.000181723565357
0.245  1783.0  42.22558  919.0  30.31501  0.000868333333333  0.000178635931714
0.25  1754.0  41.88078  856.0  29.25748  0.00106777777778  0.000174478059426
0.255  1509.0  38.84585  810.0  28.4605  0.000591666666667  0.000166263406042
0.26  1396.0  37.36308  722.0  26.87006  0.000668888888889  0.000158219258749
0.265  1404.0  37.46999  755.0  27.47726  0.000544444444444  0.000160458440506
0.27  1232.0  35.09986  659.0  25.671  0.000493333333333  0.000150078189215
0.275  1160.0  34.05877  663.0  25.74879  0.000275555555556  0.000148482038737
0.28  1106.0  33.25658  631.0  25.11971  0.000267777777778  0.000144907369288
0.285  1013.0  31.82766  594.0  24.37212  0.000173888888889  0.000139820225689
0.29  954.0  30.88689  558.0  23.62202  0.00017  0.000135585138388
0.295  846.0  29.08608  545.0  23.34524  -7.22222222222e-05  0.000131503668454
0.3  845.0  29.06888  513.0  22.6495  6.72222222222e-05  0.000129048016027
