# Title: q	KP: 360001.0	Integral: 2.717510e+05
# x	counts
0	0.000000e+00	0.000000e+00
0.005	0.000000e+00	0.000000e+00
0.01	0.000000e+00	0.000000e+00
0.015	0.000000e+00	0.000000e+00
0.02	1.666000e+03	4.081666e+01
0.025	1.262600e+04	1.123655e+02
0.03	1.391700e+04	1.179703e+02
0.035	1.005600e+04	1.002796e+02
0.04	7.042000e+03	8.391663e+01
0.045	5.883000e+03	7.670072e+01
0.05	5.475000e+03	7.399324e+01
0.055	4.985000e+03	7.060453e+01
0.06	4.589000e+03	6.774216e+01
0.065	4.262000e+03	6.528399e+01
0.07	4.027000e+03	6.345865e+01
0.075	4.060000e+03	6.371813e+01
0.08	4.009000e+03	6.331666e+01
0.085	4.027000e+03	6.345865e+01
0.09	4.296000e+03	6.554388e+01
0.095	4.277000e+03	6.539878e+01
0.1	4.495000e+03	6.704476e+01
0.105	4.585000e+03	6.771263e+01
0.11	4.552000e+03	6.746851e+01
0.115	4.757000e+03	6.897101e+01
0.12	4.755000e+03	6.895651e+01
0.125	4.864000e+03	6.974238e+01
0.13	4.877000e+03	6.983552e+01
0.135	5.062000e+03	7.114773e+01
0.14	4.955000e+03	7.039176e+01
0.145	5.122000e+03	7.156815e+01
0.15	5.105000e+03	7.144928e+01
0.155	4.978000e+03	7.055494e+01
0.16	5.143000e+03	7.171471e+01
0.165	5.221000e+03	7.225649e+01
0.17	5.557000e+03	7.454529e+01
0.175	6.348000e+03	7.967434e+01
0.18	7.958000e+03	8.920762e+01
0.185	9.493000e+03	9.743203e+01
0.19	9.596000e+03	9.795918e+01
0.195	8.305000e+03	9.113177e+01
0.2	6.769000e+03	8.227393e+01
0.205	5.599000e+03	7.482647e+01
0.21	4.567000e+03	6.757958e+01
0.215	3.858000e+03	6.211280e+01
0.22	3.303000e+03	5.747173e+01
0.225	2.867000e+03	5.354437e+01
0.23	2.352000e+03	4.849742e+01
0.235	2.173000e+03	4.661545e+01
0.24	2.004000e+03	4.476606e+01
0.245	1.783000e+03	4.222558e+01
0.25	1.754000e+03	4.188078e+01
0.255	1.509000e+03	3.884585e+01
0.26	1.396000e+03	3.736308e+01
0.265	1.404000e+03	3.746999e+01
0.27	1.232000e+03	3.509986e+01
0.275	1.160000e+03	3.405877e+01
0.28	1.106000e+03	3.325658e+01
0.285	1.013000e+03	3.182766e+01
0.29	9.540000e+02	3.088689e+01
0.295	8.460000e+02	2.908608e+01
0.3	8.450000e+02	2.906888e+01
0.305	8.160000e+02	2.856571e+01
0.31	7.620000e+02	2.760435e+01
0.315	6.950000e+02	2.636285e+01
0.32	6.870000e+02	2.621068e+01
0.325	6.440000e+02	2.537716e+01
0.33	5.830000e+02	2.414539e+01
0.335	5.720000e+02	2.391652e+01
0.34	5.310000e+02	2.304344e+01
0.345	4.590000e+02	2.142429e+01
0.35	4.740000e+02	2.177154e+01
0.355	4.100000e+02	2.024846e+01
0.36	4.090000e+02	2.022375e+01
0.365	3.560000e+02	1.886796e+01
0.37	3.510000e+02	1.873499e+01
0.375	3.320000e+02	1.822087e+01
0.38	3.110000e+02	1.763519e+01
0.385	3.360000e+02	1.833030e+01
0.39	2.960000e+02	1.720465e+01
0.395	2.720000e+02	1.649242e+01
0.4	2.870000e+02	1.694107e+01
0.405	2.480000e+02	1.574802e+01
0.41	2.180000e+02	1.476482e+01
0.415	2.350000e+02	1.532971e+01
0.42	1.730000e+02	1.315295e+01
0.425	2.020000e+02	1.421267e+01
0.43	1.760000e+02	1.326650e+01
0.435	1.780000e+02	1.334166e+01
0.44	1.680000e+02	1.296148e+01
0.445	1.380000e+02	1.174734e+01
0.45	1.640000e+02	1.280625e+01
0.455	1.250000e+02	1.118034e+01
0.46	1.170000e+02	1.081665e+01
0.465	1.080000e+02	1.039230e+01
0.47	1.100000e+02	1.048809e+01
0.475	8.300000e+01	9.110434e+00
0.48	8.500000e+01	9.219544e+00
0.485	8.700000e+01	9.327379e+00
0.49	6.300000e+01	7.937254e+00
0.495	7.100000e+01	8.426150e+00
